indx:   offset, comp, type - size
0000: 00000000, 0001, 0003 - 000000d8
0001: 000000d8, 0001, 0003 - 000005c8
0002: 000006a0, 0001, 0003 - 00000278
0003: 00000918, 0001, 0003 - 00000330
0004: 00000c48, 0000, 0004 - 00000000
0005: 00000c48, 0001, 0003 - 000012d0
0006: 00001f18, 0000, 0004 - 00000000
0007: 00001f18, 0001, 0003 - 000008d8
0008: 000027f0, 0001, 0003 - 000004a8
0009: 00002c98, 0001, 0003 - 00000570
000a: 00003208, 0001, 0003 - 00000240
000b: 00003448, 0001, 0003 - 00000328
000c: 00003770, 0001, 0003 - 000002b8
000d: 00003a28, 0000, 0004 - 00000000
000e: 00003a28, 0001, 0003 - 00000c98
000f: 000046c0, 0001, 0003 - 000006c0
0010: 00004d80, 0001, 0003 - 000005e0
0011: 00005360, 0001, 0003 - 00000340
0012: 000056a0, 0000, 0004 - 00000000
0013: 000056a0, 0000, 0004 - 00000000
0014: 000056a0, 0000, 0004 - 00000000
0015: 000056a0, 0001, 0003 - 000003d8
0016: 00005a78, 0001, 0003 - 00000808
0017: 00006280, 0001, 0003 - 000002c0
0018: 00006540, 0001, 0003 - 00000260
0019: 000067a0, 0001, 0003 - 00000298
001a: 00006a38, 0001, 0003 - 00000208
001b: 00006c40, 0001, 0003 - 00000618
001c: 00007258, 0001, 0003 - 000008f0
001d: 00007b48, 0001, 0003 - 000007a8
001e: 000082f0, 0000, 0004 - 00000000
001f: 000082f0, 0000, 0004 - 00000000
0020: 000082f0, 0000, 0004 - 00000000
0021: 000082f0, 0001, 0003 - 000001b0
0022: 000084a0, 0001, 0003 - 000004d0
0023: 00008970, 0001, 0003 - 00000580
0024: 00008ef0, 0001, 0003 - 00000190
0025: 00009080, 0000, 0004 - 00000000
0026: 00009080, 0001, 0003 - 000006d0
0027: 00009750, 0001, 0003 - 000005e0
0028: 00009d30, 0001, 0003 - 000008a0
0029: 0000a5d0, 0001, 0003 - 00000430
002a: 0000aa00, 0001, 0003 - 00000d08
002b: 0000b708, 0001, 0003 - 000009e0
002c: 0000c0e8, 0001, 0003 - 00000310
002d: 0000c3f8, 0001, 0003 - 00000130
002e: 0000c528, 0001, 0003 - 00001958
002f: 0000de80, 0001, 0003 - 00001058
0030: 0000eed8, 0001, 0003 - 000005e0
0031: 0000f4b8, 0001, 0003 - 000001e0
0032: 0000f698, 0001, 0003 - 00000998
0033: 00010030, 0001, 0003 - 00003270
0034: 000132a0, 0001, 0003 - 00000218
0035: 000134b8, 0001, 0003 - 000005a8
0036: 00013a60, 0001, 0003 - 000005b0
0037: 00014010, 0000, 0004 - 00000000
0038: 00014010, 0001, 0003 - 00000268
0039: 00014278, 0001, 0003 - 000002f8
003a: 00014570, 0000, 0004 - 00000000
003b: 00014570, 0000, 0004 - 00000000
003c: 00014570, 0001, 0003 - 00000390
003d: 00014900, 0001, 0003 - 000008b0
003e: 000151b0, 0001, 0003 - 000005a8
003f: 00015758, 0001, 0003 - 00000268
0040: 000159c0, 0001, 0003 - 000003c0
0041: 00015d80, 0001, 0003 - 00000238
0042: 00015fb8, 0001, 0003 - 000004b0
0043: 00016468, 0001, 0003 - 00000248
0044: 000166b0, 0001, 0003 - 00000a08
0045: 000170b8, 0001, 0003 - 00000648
0046: 00017700, 0000, 0004 - 00000000
0047: 00017700, 0001, 0003 - 00000190
0048: 00017890, 0001, 0003 - 00000bb0
0049: 00018440, 0001, 0003 - 00000780
004a: 00018bc0, 0000, 0004 - 00000000
004b: 00018bc0, 0001, 0003 - 000009d0
004c: 00019590, 0001, 0003 - 000001e8
004d: 00019778, 0001, 0003 - 00000310
004e: 00019a88, 0001, 0003 - 00000058
004f: 00019ae0, 0001, 0003 - 00000300
0050: 00019de0, 0000, 0004 - 00000000
0051: 00019de0, 0001, 0003 - 00000870
0052: 0001a650, 0001, 0003 - 00000498
0053: 0001aae8, 0001, 0003 - 00000548
0054: 0001b030, 0001, 0003 - 000002e0
0055: 0001b310, 0001, 0003 - 00000368
0056: 0001b678, 0001, 0003 - 00000390
0057: 0001ba08, 0001, 0003 - 00000438
0058: 0001be40, 0001, 0003 - 000004c0
0059: 0001c300, 0001, 0003 - 00000070
005a: 0001c370, 0001, 0003 - 00000098
005b: 0001c408, 0001, 0003 - 000007f0
005c: 0001cbf8, 0001, 0003 - 00000c00
005d: 0001d7f8, 0001, 0003 - 000003a8
005e: 0001dba0, 0001, 0003 - 00000ca0
005f: 0001e840, 0001, 0003 - 00000270
0060: 0001eab0, 0001, 0003 - 00001118
0061: 0001fbc8, 0001, 0003 - 000001f8
0062: 0001fdc0, 0001, 0003 - 00000300
0063: 000200c0, 0001, 0003 - 00000328
0064: 000203e8, 0001, 0003 - 00000670
0065: 00020a58, 0001, 0003 - 000000c0
0066: 00020b18, 0001, 0003 - 000005a0
0067: 000210b8, 0001, 0003 - 000001a8
0068: 00021260, 0001, 0003 - 00000168
0069: 000213c8, 0001, 0003 - 000006e8
006a: 00021ab0, 0001, 0003 - 00000148
006b: 00021bf8, 0001, 0003 - 000001c8
006c: 00021dc0, 0001, 0003 - 000002e0
006d: 000220a0, 0001, 0003 - 00000678
006e: 00022718, 0001, 0003 - 000000f8
006f: 00022810, 0001, 0003 - 000020c0
0070: 000248d0, 0001, 0003 - 00000288
0071: 00024b58, 0001, 0003 - 00000260
0072: 00024db8, 0001, 0003 - 00000430
0073: 000251e8, 0001, 0003 - 00000288
0074: 00025470, 0000, 0004 - 00000000
0075: 00025470, 0000, 0004 - 00000000
0076: 00025470, 0001, 0003 - 000004d0
0077: 00025940, 0001, 0003 - 00001228
0078: 00026b68, 0001, 0003 - 00000098
0079: 00026c00, 0001, 0003 - 00002400
007a: 00029000, 0001, 0003 - 00003b08
007b: 0002cb08, 0001, 0003 - 0000cf50
007c: 00039a58, 0001, 0003 - 0000e140
007d: 00047b98, 0001, 0003 - 00002140
007e: 00049cd8, 0001, 0003 - 0000daf0
007f: 000577c8, 0001, 0003 - 000000d8
0080: 000578a0, 0001, 0003 - 00000160
0081: 00057a00, 0001, 0003 - 000000f8
0082: 00057af8, 0001, 0003 - 000006f0
0083: 000581e8, 0001, 0003 - 00000818
0084: 00058a00, 0001, 0003 - 000029e0
0085: 0005b3e0, 0001, 0003 - 00000888
0086: 0005bc68, 0000, 0004 - 00000000
0087: 0005bc68, 0000, 0004 - 00000000
0088: 0005bc68, 0000, 0004 - 00000000
0089: 0005bc68, 0000, 0004 - 00000000
008a: 0005bc68, 0000, 0004 - 00000000
008b: 0005bc68, 0000, 0004 - 00000000
008c: 0005bc68, 0001, 0003 - 00000130
008d: 0005bd98, 0000, 0004 - 00000000
008e: 0005bd98, 0000, 0004 - 00000000
008f: 0005bd98, 0001, 0003 - 00000178
0090: 0005bf10, 0001, 0003 - 00000a50
0091: 0005c960, 0001, 0003 - 00001238
0092: 0005db98, 0001, 0003 - 00000088
0093: 0005dc20, 0001, 0003 - 00000360
0094: 0005df80, 0001, 0003 - 00000268
0095: 0005e1e8, 0001, 0003 - 00001550
0096: 0005f738, 0001, 0003 - 00000270
0097: 0005f9a8, 0001, 0003 - 00000348
0098: 0005fcf0, 0001, 0003 - 00000588
0099: 00060278, 0000, 0004 - 00000000
009a: 00060278, 0001, 0003 - 00000288
009b: 00060500, 0001, 0003 - 00000288
009c: 00060788, 0000, 0004 - 00000000
009d: 00060788, 0001, 0003 - 00000228
009e: 000609b0, 0001, 0003 - 000002f0
009f: 00060ca0, 0001, 0003 - 00000320
00a0: 00060fc0, 0001, 0003 - 00000088
00a1: 00061048, 0001, 0003 - 000000a0
00a2: 000610e8, 0001, 0003 - 00000888
00a3: 00061970, 0001, 0003 - 00000108
00a4: 00061a78, 0001, 0003 - 000001c0
00a5: 00061c38, 0001, 0003 - 000002d8
00a6: 00061f10, 0001, 0003 - 00000808
00a7: 00062718, 0001, 0003 - 00000208
00a8: 00062920, 0001, 0003 - 000001a8
00a9: 00062ac8, 0001, 0003 - 000001b0
00aa: 00062c78, 0001, 0003 - 00000110
00ab: 00062d88, 0001, 0003 - 00000108
00ac: 00062e90, 0001, 0003 - 00000108
00ad: 00062f98, 0001, 0003 - 00000150
00ae: 000630e8, 0001, 0003 - 00000858
00af: 00063940, 0000, 0004 - 00000000
00b0: 00063940, 0001, 0003 - 00000130
00b1: 00063a70, 0001, 0003 - 00001fa8
00b2: 00065a18, 0001, 0003 - 000009a0
00b3: 000663b8, 0001, 0003 - 00000098
00b4: 00066450, 0001, 0003 - 000000b0
00b5: 00066500, 0001, 0003 - 00000300
00b6: 00066800, 0001, 0003 - 000007e0
00b7: 00066fe0, 0001, 0003 - 00000500
00b8: 000674e0, 0001, 0003 - 000002e8
00b9: 000677c8, 0001, 0003 - 00000400
00ba: 00067bc8, 0000, 0004 - 00000000
00bb: 00067bc8, 0000, 0004 - 00000000
00bc: 00067bc8, 0001, 0003 - 00000040
00bd: 00067c08, 0001, 0003 - 00000110
00be: 00067d18, 0001, 0003 - 00000180
00bf: 00067e98, 0001, 0003 - 00000200
00c0: 00068098, 0001, 0003 - 00000190
00c1: 00068228, 0001, 0003 - 00001080
00c2: 000692a8, 0001, 0003 - 00001090
00c3: 0006a338, 0001, 0003 - 00001080
00c4: 0006b3b8, 0001, 0003 - 00001050
00c5: 0006c408, 0001, 0003 - 00000220
00c6: 0006c628, 0001, 0003 - 00000178
00c7: 0006c7a0, 0001, 0003 - 00000190
00c8: 0006c930, 0001, 0003 - 00000248
00c9: 0006cb78, 0001, 0003 - 00000608
00ca: 0006d180, 0001, 0003 - 000001e8
00cb: 0006d368, 0001, 0003 - 00000210
00cc: 0006d578, 0001, 0003 - 000002d8
00cd: 0006d850, 0001, 0003 - 00000038
00ce: 0006d888, 0001, 0003 - 00000480
00cf: 0006dd08, 0001, 0003 - 00000128
00d0: 0006de30, 0001, 0003 - 00000780
00d1: 0006e5b0, 0001, 0003 - 00000208
00d2: 0006e7b8, 0001, 0003 - 00002c60
00d3: 00071418, 0001, 0003 - 00000538
00d4: 00071950, 0001, 0003 - 00000020
00d5: 00071970, 0001, 0003 - 00000020
00d6: 00071990, 0001, 0003 - 00000100
00d7: 00071a90, 0001, 0003 - 00000050
00d8: 00071ae0, 0001, 0003 - 000001d8
